"days","loss_count","loss_type","claim_source","time_frame","loss_country","minimum","maximum","category","source_target"
126,1572,"Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Tanks","UA Source-Russia"
126,781,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
126,217,"Jets-Russia","UA Source","Cumulative","Russia",0,0,"Jets","UA Source-Russia"
126,185,"Helicopters-Russia","UA Source","Cumulative","Russia",0,0,"Helicopters","UA Source-Russia"
126,14,"Ships-Russia","UA Source","Cumulative","Russia",0,0,"Ships","UA Source-Russia"
127,143400,"Military Casualties-Russia","UA Source","Cumulative","Russia",0,0,"Military Casualties","UA Source-Russia"
127,35600,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
127,3726,"Armored Vehicles-Russia","UA Source","Cumulative","Russia",0,0,"Armored Vehicles","UA Source-Russia"
127,1573,"Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Tanks","UA Source-Russia"
127,790,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
127,217,"Jets-Russia","UA Source","Cumulative","Russia",0,0,"Jets","UA Source-Russia"
127,185,"Helicopters-Russia","UA Source","Cumulative","Russia",0,0,"Helicopters","UA Source-Russia"
127,14,"Ships-Russia","UA Source","Cumulative","Russia",0,0,"Ships","UA Source-Russia"
128,144000,"Military Casualties-Russia","UA Source","Cumulative","Russia",0,0,"Military Casualties","UA Source-Russia"
128,35750,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
128,3736,"Armored Vehicles-Russia","UA Source","Cumulative","Russia",0,0,"Armored Vehicles","UA Source-Russia"
128,1577,"Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Tanks","UA Source-Russia"
128,796,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
128,217,"Jets-Russia","UA Source","Cumulative","Russia",0,0,"Jets","UA Source-Russia"
128,186,"Helicopters-Russia","UA Source","Cumulative","Russia",0,0,"Helicopters","UA Source-Russia"
128,15,"Ships-Russia","UA Source","Cumulative","Russia",0,0,"Ships","UA Source-Russia"
129,144480,"Military Casualties-Russia","UA Source","Cumulative","Russia",0,0,"Military Casualties","UA Source-Russia"
129,35870,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
129,3737,"Armored Vehicles-Russia","UA Source","Cumulative","Russia",0,0,"Armored Vehicles","UA Source-Russia"
129,1582,"Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Tanks","UA Source-Russia"
129,800,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
129,217,"Jets-Russia","UA Source","Cumulative","Russia",0,0,"Jets","UA Source-Russia"
129,186,"Helicopters-Russia","UA Source","Cumulative","Russia",0,0,"Helicopters","UA Source-Russia"
129,15,"Ships-Russia","UA Source","Cumulative","Russia",0,0,"Ships","UA Source-Russia"
130,144880,"Military Casualties-Russia","UA Source","Cumulative","Russia",0,0,"Military Casualties","UA Source-Russia"
130,35970,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
130,3744,"Armored Vehicles-Russia","UA Source","Cumulative","Russia",0,0,"Armored Vehicles","UA Source-Russia"
130,1584,"Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Tanks","UA Source-Russia"
130,801,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
130,217,"Jets-Russia","UA Source","Cumulative","Russia",0,0,"Jets","UA Source-Russia"
130,187,"Helicopters-Russia","UA Source","Cumulative","Russia",0,0,"Helicopters","UA Source-Russia"
130,15,"Ships-Russia","UA Source","Cumulative","Russia",0,0,"Ships","UA Source-Russia"
131,145800,"Military Casualties-Russia","UA Source","Cumulative","Russia",0,0,"Military Casualties","UA Source-Russia"
131,36200,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
131,3754,"Armored Vehicles-Russia","UA Source","Cumulative","Russia",0,0,"Armored Vehicles","UA Source-Russia"
131,1589,"Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Tanks","UA Source-Russia"
131,804,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
131,217,"Jets-Russia","UA Source","Cumulative","Russia",0,0,"Jets","UA Source-Russia"
131,187,"Helicopters-Russia","UA Source","Cumulative","Russia",0,0,"Helicopters","UA Source-Russia"
131,15,"Ships-Russia","UA Source","Cumulative","Russia",0,0,"Ships","UA Source-Russia"
132,146400,"Military Casualties-Russia","UA Source","Cumulative","Russia",0,0,"Military Casualties","UA Source-Russia"
132,36350,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
132,3772,"Armored Vehicles-Russia","UA Source","Cumulative","Russia",0,0,"Armored Vehicles","UA Source-Russia"
132,1594,"Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Tanks","UA Source-Russia"
132,806,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
132,217,"Jets-Russia","UA Source","Cumulative","Russia",0,0,"Jets","UA Source-Russia"
132,187,"Helicopters-Russia","UA Source","Cumulative","Russia",0,0,"Helicopters","UA Source-Russia"
132,15,"Ships-Russia","UA Source","Cumulative","Russia",0,0,"Ships","UA Source-Russia"
133,147000,"Military Casualties-Russia","UA Source","Cumulative","Russia",0,0,"Military Casualties","UA Source-Russia"
133,36500,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
133,3789,"Armored Vehicles-Russia","UA Source","Cumulative","Russia",0,0,"Armored Vehicles","UA Source-Russia"
133,1600,"Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Tanks","UA Source-Russia"
133,812,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
133,217,"Jets-Russia","UA Source","Cumulative","Russia",0,0,"Jets","UA Source-Russia"
133,187,"Helicopters-Russia","UA Source","Cumulative","Russia",0,0,"Helicopters","UA Source-Russia"
133,15,"Ships-Russia","UA Source","Cumulative","Russia",0,0,"Ships","UA Source-Russia"
134,147600,"Military Casualties-Russia","UA Source","Cumulative","Russia",0,0,"Military Casualties","UA Source-Russia"
134,36650,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
134,3797,"Armored Vehicles-Russia","UA Source","Cumulative","Russia",0,0,"Armored Vehicles","UA Source-Russia"
134,1602,"Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Tanks","UA Source-Russia"
134,815,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
134,217,"Jets-Russia","UA Source","Cumulative","Russia",0,0,"Jets","UA Source-Russia"
134,187,"Helicopters-Russia","UA Source","Cumulative","Russia",0,0,"Helicopters","UA Source-Russia"
134,15,"Ships-Russia","UA Source","Cumulative","Russia",0,0,"Ships","UA Source-Russia"
135,148600,"Military Casualties-Russia","UA Source","Cumulative","Russia",0,0,"Military Casualties","UA Source-Russia"
135,36900,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
135,3811,"Armored Vehicles-Russia","UA Source","Cumulative","Russia",0,0,"Armored Vehicles","UA Source-Russia"
135,1637,"Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Tanks","UA Source-Russia"
135,828,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
135,217,"Jets-Russia","UA Source","Cumulative","Russia",0,0,"Jets","UA Source-Russia"
